Title,ProcedureName,Standard,Revision,SystemEnd,EquipmentGroups,Customers,SetupHours,TestHours,ReportingHours,Samples,ConsumablesCost,Description
TP-FRD-10,Life Fatigue Curves (S-N Curve),CETP 09.00-E-309,Rev. 01,AMBOS,,CLI-FRD,0,0,0,1,0,
TP-FRD-11,Hot Vibration Manifold Joint Durability,TM-09.03-E-300,Rev. 01,AMBOS,,CLI-FRD,0,0,0,1,0,
TP-VW-01,Hot Shaker Test,EP 18310.55,Rev. 01,AMBOS,,CLI-VW,0,0,0,1,0,
TP-VW-02,Thermal Fatigue Test,EP 18310.55,Rev. 01,AMBOS,,CLI-VW,0,0,0,1,0,
TP-VW-03,Crack Test Under Overrun Conditions,EP EP18100.20,Rev. 01,AMBOS,,CLI-VW,0,0,0,1,0,
TP-VW-04,Fatigue Test,TL 82391,Rev. 01,AMBOS,,CLI-VW,8,135,15,1,0,
TP-HYU-01,NVH Test,ES 28600-09 6.3,Rev. 01,AMBOS,,CLI-HYU,0,0,0,1,0,
TP-HYU-02,Hanger / Pipe Durability,ES 28600-22,Rev. 01,AMBOS,,CLI-HYU,14,109,12,1,0,
TP-HYU-03,Backpressure,ES 28600-09 - 6.1,Rev. 01,AMBOS,,CLI-HYU,3,4,12,1,0,
TP-HYU-04,Hot & Cold Vibration,ES28530-01,Rev. 01,AMBOS,,CLI-HYU,0,0,0,1,0,
TP-HYU-05,Radiation Noise Test,ES 28600-09 - 6.4,Rev. 01,AMBOS,,CLI-HYU,0,0,0,1,0,
TP-HYU-06,Ressonance Frequency Test,ES 28600-09 - 6.5,Rev. 01,AMBOS,,CLI-HYU,0,0,0,1,0,
TP-HYU-07,Thermal Shock Test,ES 28600-09 - 6.7,Rev. 01,AMBOS,,CLI-HYU,0,0,0,1,0,
TP-HYU-08,Shell Stifness Test,ES 28600-09 - 6.9,Rev. 01,AMBOS,,CLI-HYU,0,0,0,1,0,
TP-HYU-09,Condensate Water Noise,ES 28600-09 - 6.11,Rev. 01,AMBOS,,CLI-HYU,0,0,0,1,0,
TP-RSA-01,Cold Flow Backpresure,34-05-803/--J,Rev. 01,AMBOS,,CLI-RSA,0,0,0,1,0,
TP-RSA-02,Thermal Shock,34-05-803/--J,Rev. 01,AMBOS,,CLI-RSA,9,332,19,1,0,
TP-RSA-03,Hot Shaker,34-05-803/--J,Rev. 01,AMBOS,,CLI-RSA,14,302,21,1,0,
TP-RSA-04,Condensate Evacuation,34-05-803/--J,Rev. 01,AMBOS,,CLI-RSA,0,0,0,1,0,
TP-NIS-01,Thermal Cycle Durability,20000NDS01,Rev. 01,AMBOS,,CLI-NIS,11,375,6,1,0,
TP-NIS-02,Bypass rate,20080NDS01,Rev. 01,AMBOS,,CLI-NIS,0,0,0,1,0,
TP-NIS-03,Catalyst Retaining Performance Test,20080NDS01,Rev. 01,AMBOS,,CLI-NIS,0,0,0,1,0,
TP-NIS-04,Mount Bracket Durability,20000NDS01,Rev. 01,AMBOS,,CLI-NIS,0,0,0,1,0,
